Confirmed,Country/Region,Deaths,Demised,Last Update,Province/State,Recovered,Suspected
68.0,Mainland China,,,1/26/2020 11:00 AM,Beijing,2.0,
68.0,Mainland China,,,1/26/2020 23:00,Beijing,2.0,
80.0,Mainland China,1.0,,1/27/2020 19:00,Beijing,2.0,
80.0,Mainland China,1.0,,1/27/2020 20:30,Beijing,2.0,
72.0,Mainland China,,,1/27/2020 9:00,Beijing,2.0,
91.0,Mainland China,1.0,,1/28/2020 13:00,Beijing,4.0,
91.0,Mainland China,1.0,,1/28/2020 18:00,Beijing,4.0,
1.0,Canada,,,1/28/2020 18:00,British Columbia,,
1.0,US,,,1/26/2020 11:00 AM,California,,
2.0,US,,,1/26/2020 23:00,California,,
2.0,US,,,1/27/2020 19:00,California,,
2.0,US,,,1/27/2020 20:30,California,,
2.0,US,,,1/27/2020 9:00,California,,
2.0,US,,,1/28/2020 13:00,California,,
2.0,US,,,1/28/2020 18:00,California,,
1.0,US,,,1/24/2020 12:00 PM,Chicago,,
5.0,China,,,1/21/2020,Chongqing,,
6.0,China,,,1/22/2020 12:00,Chongqing,,
9.0,Mainland China,,,1/23/20 12:00 PM,Chongqing,,
27.0,Mainland China,,,1/24/2020 12:00 AM,Chongqing,,13.0
27.0,Mainland China,,,1/24/2020 12:00 PM,Chongqing,,13.0
57.0,Mainland China,,,1/25/2020 12:00 AM,Chongqing,,
57.0,Mainland China,,,1/25/2020 12:00 PM,Chongqing,,
75.0,Mainland China,,,1/25/2020 12:00 PM,Chongqing,,
57.0,Mainland China,,,1/25/2020 12:00 PM,Chongqing,,
75.0,Mainland China,,,1/26/2020 11:00 AM,Chongqing,,
110.0,Mainland China,,,1/26/2020 23:00,Chongqing,,
110.0,Mainland China,,,1/27/2020 19:00,Chongqing,,
132.0,Mainland China,,,1/27/2020 20:30,Chongqing,,
110.0,Mainland China,1.0,,1/27/2020 9:00,Chongqing,,
132.0,Mainland China,,,1/28/2020 13:00,Chongqing,,
132.0,Mainland China,,,1/28/2020 18:00,Chongqing,,
1.0,China,,,1/22/2020 12:00,Fujian,,
5.0,Mainland China,,,1/23/20 12:00 PM,Fujian,,2.0
5.0,Mainland China,,,1/24/2020 12:00 AM,Fujian,,2.0
10.0,Mainland China,,,1/24/2020 12:00 PM,Fujian,,2.0
10.0,Mainland China,,,1/25/2020 12:00 AM,Fujian,,4.0
18.0,Mainland China,,,1/25/2020 12:00 PM,Fujian,,20.0
18.0,Mainland China,1.0,,1/25/2020 12:00 PM,Fujian,,20.0
18.0,Mainland China,,,1/25/2020 12:00 PM,Fujian,,20.0
35.0,Mainland China,,,1/26/2020 11:00 AM,Fujian,,20.0
35.0,Mainland China,,,1/26/2020 23:00,Fujian,,
59.0,Mainland China,,,1/27/2020 19:00,Fujian,,
59.0,Mainland China,,,1/27/2020 20:30,Fujian,,
56.0,Mainland China,,,1/27/2020 9:00,Fujian,,
80.0,Mainland China,,,1/28/2020 13:00,Fujian,,
80.0,Mainland China,,,1/28/2020 18:00,Fujian,,
,China,,,1/22/2020 12:00,Gansu,,
2.0,Mainland China,,,1/23/20 12:00 PM,Gansu,,
2.0,Mainland China,,,1/24/2020 12:00 AM,Gansu,,
2.0,Mainland China,,,1/24/2020 12:00 PM,Gansu,,
4.0,Mainland China,,,1/25/2020 12:00 AM,Gansu,,
4.0,Mainland China,,,1/25/2020 12:00 PM,Gansu,,
7.0,Mainland China,,,1/25/2020 12:00 PM,Gansu,,
4.0,Mainland China,,,1/25/2020 12:00 PM,Gansu,,
7.0,Mainland China,,,1/26/2020 11:00 AM,Gansu,,
14.0,Mainland China,,,1/26/2020 23:00,Gansu,,
14.0,Mainland China,,,1/27/2020 19:00,Gansu,,
19.0,Mainland China,,,1/27/2020 20:30,Gansu,,
14.0,Mainland China,,,1/27/2020 9:00,Gansu,,
19.0,Mainland China,,,1/28/2020 13:00,Gansu,,
19.0,Mainland China,,,1/28/2020 18:00,Gansu,,
17.0,China,,,1/21/2020,Guangdong,,4.0
26.0,China,,,1/22/2020 12:00,Guangdong,,1.0
32.0,Mainland China,,,1/23/20 12:00 PM,Guangdong,2.0,1.0
53.0,Mainland China,,,1/24/2020 12:00 AM,Guangdong,2.0,
53.0,Mainland China,,,1/24/2020 12:00 PM,Guangdong,2.0,
78.0,Mainland China,,,1/25/2020 12:00 AM,Guangdong,2.0,
78.0,Mainland China,,,1/25/2020 12:00 PM,Guangdong,2.0,
98.0,Mainland China,,,1/25/2020 12:00 PM,Guangdong,2.0,
78.0,Mainland China,,,1/25/2020 12:00 PM,Guangdong,2.0,
111.0,Mainland China,,,1/26/2020 11:00 AM,Guangdong,2.0,
146.0,Mainland China,,,1/26/2020 23:00,Guangdong,2.0,
151.0,Mainland China,,,1/27/2020 19:00,Guangdong,4.0,
151.0,Mainland China,,,1/27/2020 20:30,Guangdong,4.0,
151.0,Mainland China,,,1/27/2020 9:00,Guangdong,3.0,
207.0,Mainland China,,,1/28/2020 13:00,Guangdong,4.0,
207.0,Mainland China,,,1/28/2020 18:00,Guangdong,4.0,
,China,,,1/21/2020,Guangxi,,1.0
2.0,China,,,1/22/2020 12:00,Guangxi,,1.0
5.0,Mainland China,,,1/23/20 12:00 PM,Guangxi,,
13.0,Mainland China,,,1/24/2020 12:00 AM,Guangxi,,
23.0,Mainland China,,,1/24/2020 12:00 PM,Guangxi,,
23.0,Mainland China,,,1/25/2020 12:00 AM,Guangxi,,
23.0,Mainland China,,,1/25/2020 12:00 PM,Guangxi,,
33.0,Mainland China,,,1/25/2020 12:00 PM,Guangxi,,
23.0,Mainland China,,,1/25/2020 12:00 PM,Guangxi,,
36.0,Mainland China,,,1/26/2020 11:00 AM,Guangxi,,
46.0,Mainland China,,,1/26/2020 23:00,Guangxi,,
46.0,Mainland China,,,1/27/2020 19:00,Guangxi,,
51.0,Mainland China,,,1/27/2020 20:30,Guangxi,,
46.0,Mainland China,,,1/27/2020 9:00,Guangxi,,
51.0,Mainland China,,,1/28/2020 13:00,Guangxi,2.0,
51.0,Mainland China,,,1/28/2020 18:00,Guangxi,2.0,
,China,,,1/21/2020,Guizhou,,1.0
1.0,China,,,1/22/2020 12:00,Guizhou,,
3.0,Mainland China,,,1/23/20 12:00 PM,Guizhou,,
3.0,Mainland China,,,1/24/2020 12:00 AM,Guizhou,,
3.0,Mainland China,,,1/24/2020 12:00 PM,Guizhou,,
4.0,Mainland China,,,1/25/2020 12:00 AM,Guizhou,,
4.0,Mainland China,,,1/25/2020 12:00 PM,Guizhou,,
5.0,Mainland China,,,1/25/2020 12:00 PM,Guizhou,,
4.0,Mainland China,,,1/25/2020 12:00 PM,Guizhou,,
5.0,Mainland China,,,1/26/2020 11:00 AM,Guizhou,,
7.0,Mainland China,,,1/26/2020 23:00,Guizhou,,
7.0,Mainland China,,,1/27/2020 19:00,Guizhou,,
9.0,Mainland China,,,1/27/2020 20:30,Guizhou,,
7.0,Mainland China,,,1/27/2020 9:00,Guizhou,,
9.0,Mainland China,,,1/28/2020 13:00,Guizhou,,
9.0,Mainland China,,,1/28/2020 18:00,Guizhou,,
,China,,,1/21/2020,Hainan,,1.0
4.0,China,,,1/22/2020 12:00,Hainan,,
5.0,Mainland China,,,1/23/20 12:00 PM,Hainan,,32.0
8.0,Mainland China,,,1/24/2020 12:00 AM,Hainan,,32.0
8.0,Mainland China,,,1/24/2020 12:00 PM,Hainan,,32.0
17.0,Mainland China,,,1/25/2020 12:00 AM,Hainan,,
19.0,Mainland China,,,1/25/2020 12:00 PM,Hainan,,
19.0,Mainland China,,,1/25/2020 12:00 PM,Hainan,,
19.0,Mainland China,,,1/25/2020 12:00 PM,Hainan,,
22.0,Mainland China,,,1/26/2020 11:00 AM,Hainan,,
22.0,Mainland China,,,1/26/2020 23:00,Hainan,,
33.0,Mainland China,1.0,,1/27/2020 19:00,Hainan,,
33.0,Mainland China,1.0,,1/27/2020 20:30,Hainan,,
33.0,Mainland China,1.0,,1/27/2020 9:00,Hainan,,
40.0,Mainland China,1.0,,1/28/2020 13:00,Hainan,,
40.0,Mainland China,1.0,,1/28/2020 18:00,Hainan,,
1.0,China,,,1/22/2020 12:00,Hebei,,
1.0,Mainland China,,1.0,1/23/20 12:00 PM,Hebei,,
2.0,Mainland China,1.0,,1/24/2020 12:00 AM,Hebei,,
2.0,Mainland China,1.0,,1/24/2020 12:00 PM,Hebei,,
8.0,Mainland China,1.0,,1/25/2020 12:00 AM,Hebei,,
8.0,Mainland China,1,,1/25/2020 12:00 PM,Hebei,,
13.0,Mainland China,1.0,,1/25/2020 12:00 PM,Hebei,,
8.0,Mainland China,1.0,,1/25/2020 12:00 PM,Hebei,,
13.0,Mainland China,1.0,,1/26/2020 11:00 AM,Hebei,,
18.0,Mainland China,1.0,,1/26/2020 23:00,Hebei,,
18.0,Mainland China,1.0,,1/27/2020 19:00,Hebei,,
33.0,Mainland China,1.0,,1/27/2020 20:30,Hebei,,
18.0,Mainland China,1.0,,1/27/2020 9:00,Hebei,,
33.0,Mainland China,1.0,,1/28/2020 13:00,Hebei,,
33.0,Mainland China,1.0,,1/28/2020 18:00,Hebei,,
,China,,,1/21/2020,Heilongjiang,,1.0
,China,,,1/22/2020 12:00,Heilongjiang,,1.0
2.0,Mainland China,,,1/23/20 12:00 PM,Heilongjiang,,
4.0,Mainland China,1.0,,1/24/2020 12:00 AM,Heilongjiang,,
4.0,Mainland China,1.0,,1/24/2020 12:00 PM,Heilongjiang,,
9.0,Mainland China,1.0,,1/25/2020 12:00 AM,Heilongjiang,,
9.0,Mainland China,1,,1/25/2020 12:00 PM,Heilongjiang,,
15.0,Mainland China,,,1/25/2020 12:00 PM,Heilongjiang,,
9.0,Mainland China,1.0,,1/25/2020 12:00 PM,Heilongjiang,,
15.0,Mainland China,1.0,,1/26/2020 11:00 AM,Heilongjiang,,
21.0,Mainland China,1.0,,1/26/2020 23:00,Heilongjiang,,
21.0,Mainland China,1.0,,1/27/2020 19:00,Heilongjiang,,
30.0,Mainland China,1.0,,1/27/2020 20:30,Heilongjiang,,
21.0,Mainland China,1.0,,1/27/2020 9:00,Heilongjiang,,
33.0,Mainland China,1.0,,1/28/2020 13:00,Heilongjiang,,
33.0,Mainland China,1.0,,1/28/2020 18:00,Heilongjiang,,
1.0,China,,,1/21/2020,Henan,,
5.0,China,,,1/22/2020 12:00,Henan,,
5.0,Mainland China,,,1/23/20 12:00 PM,Henan,,
9.0,Mainland China,,,1/24/2020 12:00 AM,Henan,,
9.0,Mainland China,,,1/24/2020 12:00 PM,Henan,,42.0
32.0,Mainland China,,,1/25/2020 12:00 AM,Henan,,1.0
32.0,Mainland China,,,1/25/2020 12:00 PM,Henan,,1.0
83.0,Mainland China,1.0,,1/25/2020 12:00 PM,Henan,,3.0
32.0,Mainland China,,,1/25/2020 12:00 PM,Henan,,1.0
83.0,Mainland China,1.0,,1/26/2020 11:00 AM,Henan,,3.0
128.0,Mainland China,1.0,,1/26/2020 23:00,Henan,,
128.0,Mainland China,1.0,,1/27/2020 19:00,Henan,,
168.0,Mainland China,1.0,,1/27/2020 20:30,Henan,,
128.0,Mainland China,,,1/27/2020 9:00,Henan,,
168.0,Mainland China,1.0,,1/28/2020 13:00,Henan,,
168.0,Mainland China,1.0,,1/28/2020 18:00,Henan,,
,China,,,1/21/2020,Hong Kong,,117.0
,China,,,1/22/2020 12:00,Hong Kong,,117.0
2.0,Hong Kong,,,1/23/20 12:00 PM,Hong Kong,,65.0
2.0,Hong Kong,,,1/24/2020 12:00 AM,Hong Kong,,36.0
2.0,Hong Kong,,,1/24/2020 12:00 PM,Hong Kong,,36.0
5.0,Hong Kong,,,1/25/2020 12:00 AM,Hong Kong,,36.0
5.0,Hong Kong,,,1/25/2020 12:00 PM,Hong Kong,,244.0
5.0,Hong Kong,,,1/25/2020 12:00 PM,Hong Kong,,244.0
5.0,Hong Kong,,,1/25/2020 12:00 PM,Hong Kong,,244.0
8.0,Hong Kong,,,1/26/2020 11:00 AM,Hong Kong,,244.0
8.0,Hong Kong,,,1/26/2020 23:00,Hong Kong,,
8.0,Hong Kong,,,1/27/2020 19:00,Hong Kong,,
8.0,Hong Kong,,,1/27/2020 20:30,Hong Kong,,
8.0,Hong Kong,,,1/27/2020 9:00,Hong Kong,,
8.0,Hong Kong,,,1/28/2020 13:00,Hong Kong,,
8.0,Hong Kong,,,1/28/2020 18:00,Hong Kong,,
270.0,China,,,1/21/2020,Hubei,,11.0
444.0,China,,,1/22/2020 12:00,Hubei,,
444.0,Mainland China,,17.0,1/23/20 12:00 PM,Hubei,28.0,
549.0,Mainland China,24.0,,1/24/2020 12:00 AM,Hubei,31.0,
549.0,Mainland China,24.0,,1/24/2020 12:00 PM,Hubei,31.0,
1052.0,Mainland China,52.0,,1/25/2020 10:00 PM,Hubei,42.0,
729.0,Mainland China,39.0,,1/25/2020 12:00 AM,Hubei,32.0,
761.0,Mainland China,40,,1/25/2020 12:00 PM,Hubei,32.0,
761.0,Mainland China,40.0,,1/25/2020 12:00 PM,Hubei,32.0,
1058.0,Mainland China,52.0,,1/26/2020 11:00 AM,Hubei,42.0,
1423.0,Mainland China,76.0,,1/26/2020 23:00,Hubei,44.0,
1423.0,Mainland China,76.0,,1/27/2020 19:00,Hubei,45.0,
2714.0,Mainland China,100.0,,1/27/2020 20:30,Hubei,47.0,
1423.0,Mainland China,76.0,,1/27/2020 9:00,Hubei,45.0,
2714.0,Mainland China,100.0,,1/28/2020 13:00,Hubei,52.0,
3554.0,Mainland China,125.0,,1/28/2020 18:00,Hubei,80.0,
1.0,China,,,1/21/2020,Hunan,,
4.0,China,,,1/22/2020 12:00,Hunan,,
9.0,Mainland China,,,1/23/20 12:00 PM,Hunan,,
24.0,Mainland China,,,1/24/2020 12:00 AM,Hunan,,
24.0,Mainland China,,,1/24/2020 12:00 PM,Hunan,,
43.0,Mainland China,,,1/25/2020 12:00 AM,Hunan,,
43.0,Mainland China,,,1/25/2020 12:00 PM,Hunan,,
69.0,Mainland China,,,1/25/2020 12:00 PM,Hunan,,
43.0,Mainland China,,,1/25/2020 12:00 PM,Hunan,,
69.0,Mainland China,,,1/26/2020 11:00 AM,Hunan,,
100.0,Mainland China,,,1/26/2020 23:00,Hunan,,
100.0,Mainland China,,,1/27/2020 19:00,Hunan,,
100.0,Mainland China,,,1/27/2020 20:30,Hunan,,
100.0,Mainland China,,,1/27/2020 9:00,Hunan,,
143.0,Mainland China,,,1/28/2020 13:00,Hunan,,
143.0,Mainland China,,,1/28/2020 18:00,Hunan,,
1.0,US,,,1/25/2020 12:00 AM,Illinois,,
1.0,US,,,1/25/2020 12:00 PM,Illinois,,
1.0,US,,,1/25/2020 12:00 PM,Illinois,,
1.0,US,,,1/25/2020 12:00 PM,Illinois,,
1.0,US,,,1/26/2020 11:00 AM,Illinois,,
1.0,US,,,1/26/2020 23:00,Illinois,,
1.0,US,,,1/27/2020 19:00,Illinois,,
1.0,US,,,1/27/2020 20:30,Illinois,,
1.0,US,,,1/27/2020 9:00,Illinois,,
1.0,US,,,1/28/2020 13:00,Illinois,,
1.0,US,,,1/28/2020 18:00,Illinois,,
,China,,,1/22/2020 12:00,Inner Mongolia,,
,Mainland China,,,1/23/20 12:00 PM,Inner Mongolia,,1.0
1.0,Mainland China,,,1/24/2020 12:00 AM,Inner Mongolia,,2.0
1.0,Mainland China,,,1/24/2020 12:00 PM,Inner Mongolia,,2.0
2.0,Mainland China,,,1/25/2020 12:00 AM,Inner Mongolia,,
7.0,Mainland China,,,1/25/2020 12:00 PM,Inner Mongolia,,
7.0,Mainland China,,,1/25/2020 12:00 PM,Inner Mongolia,,
7.0,Mainland China,,,1/25/2020 12:00 PM,Inner Mongolia,,
7.0,Mainland China,,,1/26/2020 11:00 AM,Inner Mongolia,,
11.0,Mainland China,,,1/26/2020 23:00,Inner Mongolia,,
11.0,Mainland China,,,1/27/2020 19:00,Inner Mongolia,,
11.0,Mainland China,,,1/27/2020 20:30,Inner Mongolia,,
11.0,Mainland China,,,1/27/2020 9:00,Inner Mongolia,,
15.0,Mainland China,,,1/28/2020 13:00,Inner Mongolia,,
15.0,Mainland China,,,1/28/2020 18:00,Inner Mongolia,,
1.0,China,,,1/22/2020 12:00,Jiangsu,,
5.0,Mainland China,,,1/23/20 12:00 PM,Jiangsu,,
9.0,Mainland China,,,1/24/2020 12:00 AM,Jiangsu,,
9.0,Mainland China,,,1/24/2020 12:00 PM,Jiangsu,,
18.0,Mainland China,,,1/25/2020 12:00 AM,Jiangsu,1.0,
18.0,Mainland China,,,1/25/2020 12:00 PM,Jiangsu,1.0,
31.0,Mainland China,,,1/25/2020 12:00 PM,Jiangsu,1.0,
18.0,Mainland China,,,1/25/2020 12:00 PM,Jiangsu,1.0,
33.0,Mainland China,,,1/26/2020 11:00 AM,Jiangsu,1.0,
47.0,Mainland China,,,1/26/2020 23:00,Jiangsu,1.0,
47.0,Mainland China,,,1/27/2020 19:00,Jiangsu,1.0,
70.0,Mainland China,,,1/27/2020 20:30,Jiangsu,1.0,
47.0,Mainland China,,,1/27/2020 9:00,Jiangsu,1.0,
70.0,Mainland China,,,1/28/2020 13:00,Jiangsu,1.0,
70.0,Mainland China,,,1/28/2020 18:00,Jiangsu,1.0,
2.0,China,,,1/21/2020,Jiangxi,,
2.0,China,,,1/22/2020 12:00,Jiangxi,,
7.0,Mainland China,,,1/23/20 12:00 PM,Jiangxi,,
7.0,Mainland China,,,1/24/2020 12:00 AM,Jiangxi,,
18.0,Mainland China,,,1/24/2020 12:00 PM,Jiangxi,,
18.0,Mainland China,,,1/25/2020 12:00 AM,Jiangxi,,
18.0,Mainland China,,,1/25/2020 12:00 PM,Jiangxi,,
36.0,Mainland China,,,1/25/2020 12:00 PM,Jiangxi,,
18.0,Mainland China,,,1/25/2020 12:00 PM,Jiangxi,,
36.0,Mainland China,,,1/26/2020 11:00 AM,Jiangxi,,
48.0,Mainland China,,,1/26/2020 23:00,Jiangxi,,
72.0,Mainland China,,,1/27/2020 19:00,Jiangxi,2.0,
72.0,Mainland China,,,1/27/2020 20:30,Jiangxi,2.0,
48.0,Mainland China,,,1/27/2020 9:00,Jiangxi,1.0,
72.0,Mainland China,,,1/28/2020 13:00,Jiangxi,3.0,
109.0,Mainland China,,,1/28/2020 18:00,Jiangxi,3.0,
,China,,,1/21/2020,Jilin,,1.0
,China,,,1/22/2020 12:00,Jilin,,1.0
1.0,Mainland China,,,1/23/20 12:00 PM,Jilin,,
3.0,Mainland China,,,1/24/2020 12:00 AM,Jilin,,
3.0,Mainland China,,,1/24/2020 12:00 PM,Jilin,,
4.0,Mainland China,,,1/25/2020 12:00 AM,Jilin,,
4.0,Mainland China,,,1/25/2020 12:00 PM,Jilin,,
4.0,Mainland China,,,1/25/2020 12:00 PM,Jilin,,
4.0,Mainland China,,,1/25/2020 12:00 PM,Jilin,,
4.0,Mainland China,,,1/26/2020 11:00 AM,Jilin,,
6.0,Mainland China,,,1/26/2020 23:00,Jilin,,
6.0,Mainland China,,,1/27/2020 19:00,Jilin,,
6.0,Mainland China,,,1/27/2020 20:30,Jilin,,
6.0,Mainland China,,,1/27/2020 9:00,Jilin,,
8.0,Mainland China,,,1/28/2020 13:00,Jilin,,
8.0,Mainland China,,,1/28/2020 18:00,Jilin,,
,China,,,1/21/2020,Liaoning,,1.0
2.0,China,,,1/22/2020 12:00,Liaoning,,
3.0,Mainland China,,,1/23/20 12:00 PM,Liaoning,,
4.0,Mainland China,,,1/24/2020 12:00 AM,Liaoning,,
4.0,Mainland China,,,1/24/2020 12:00 PM,Liaoning,,
15.0,Mainland China,,,1/25/2020 12:00 AM,Liaoning,,
17.0,Mainland China,,,1/25/2020 12:00 PM,Liaoning,,
19.0,Mainland China,,,1/25/2020 12:00 PM,Liaoning,,
17.0,Mainland China,,,1/25/2020 12:00 PM,Liaoning,,
21.0,Mainland China,,,1/26/2020 11:00 AM,Liaoning,,
23.0,Mainland China,,,1/26/2020 23:00,Liaoning,,
27.0,Mainland China,,,1/27/2020 19:00,Liaoning,,
27.0,Mainland China,,,1/27/2020 20:30,Liaoning,,
27.0,Mainland China,,,1/27/2020 9:00,Liaoning,,
34.0,Mainland China,,,1/28/2020 13:00,Liaoning,,
34.0,Mainland China,,,1/28/2020 18:00,Liaoning,,
1.0,China,,,1/22/2020 12:00,Macau,,
2.0,Macau,,,1/23/20 12:00 PM,Macau,,
2.0,Macau,,,1/24/2020 12:00 AM,Macau,,
2.0,Macau,,,1/24/2020 12:00 PM,Macau,,
2.0,Macau,,,1/25/2020 12:00 AM,Macau,,
2.0,Macau,,,1/25/2020 12:00 PM,Macau,,
2.0,Macau,,,1/25/2020 12:00 PM,Macau,,
2.0,Macau,,,1/25/2020 12:00 PM,Macau,,
5.0,Macau,,,1/26/2020 11:00 AM,Macau,,
6.0,Macau,,,1/26/2020 23:00,Macau,,
6.0,Macau,,,1/27/2020 19:00,Macau,,
6.0,Macau,,,1/27/2020 20:30,Macau,,
6.0,Macau,,,1/27/2020 9:00,Macau,,
7.0,Macau,,,1/28/2020 13:00,Macau,,
7.0,Macau,,,1/28/2020 18:00,Macau,,
4.0,Australia,,,1/27/2020 19:00,New South Wales,,
4.0,Australia,,,1/27/2020 20:30,New South Wales,,
4.0,Australia,,,1/28/2020 13:00,New South Wales,,
4.0,Australia,,,1/28/2020 18:00,New South Wales,,
,China,,,1/21/2020,Ningxia,,1.0
1.0,China,,,1/22/2020 12:00,Ningxia,,
1.0,Mainland China,,,1/23/20 12:00 PM,Ningxia,,
1.0,Mainland China,,,1/24/2020 12:00 AM,Ningxia,,
2.0,Mainland China,,,1/24/2020 12:00 PM,Ningxia,,1.0
3.0,Mainland China,,,1/25/2020 12:00 AM,Ningxia,,1.0
3.0,Mainland China,,,1/25/2020 12:00 PM,Ningxia,,1.0
4.0,Mainland China,,,1/25/2020 12:00 PM,Ningxia,,1.0
3.0,Mainland China,,,1/25/2020 12:00 PM,Ningxia,,1.0
4.0,Mainland China,,,1/26/2020 11:00 AM,Ningxia,,
4.0,Mainland China,,,1/26/2020 23:00,Ningxia,,
7.0,Mainland China,,,1/27/2020 19:00,Ningxia,,
7.0,Mainland China,,,1/27/2020 20:30,Ningxia,,
7.0,Mainland China,,,1/27/2020 9:00,Ningxia,,
11.0,Mainland China,,,1/28/2020 13:00,Ningxia,,
11.0,Mainland China,,,1/28/2020 18:00,Ningxia,,
1.0,Canada,,,1/26/2020 11:00 AM,Ontario,,
1.0,Canada,,,1/26/2020 23:00,Ontario,,
1.0,Canada,,,1/27/2020 19:00,Ontario,,
1.0,Canada,,,1/27/2020 20:30,Ontario,,
1.0,Canada,,,1/27/2020 9:00,Ontario,,
2.0,Canada,,,1/28/2020 13:00,Ontario,,
1.0,Canada,,,1/28/2020 18:00,Ontario,,
,China,,,1/22/2020 12:00,Qinghai,,
,Mainland China,,,1/23/20 12:00 PM,Qinghai,,
,Mainland China,,,1/24/2020 12:00 PM,Qinghai,,1.0
,Mainland China,,,1/25/2020 12:00 AM,Qinghai,,1.0
1.0,Mainland China,,,1/25/2020 12:00 PM,Qinghai,,
1.0,Mainland China,,,1/25/2020 12:00 PM,Qinghai,,
1.0,Mainland China,,,1/25/2020 12:00 PM,Qinghai,,
1.0,Mainland China,,,1/26/2020 11:00 AM,Qinghai,,
4.0,Mainland China,,,1/26/2020 23:00,Qinghai,,
6.0,Mainland China,,,1/27/2020 19:00,Qinghai,,
6.0,Mainland China,,,1/27/2020 20:30,Qinghai,,
4.0,Mainland China,,,1/27/2020 9:00,Qinghai,,
6.0,Mainland China,,,1/28/2020 13:00,Qinghai,,
6.0,Mainland China,,,1/28/2020 18:00,Qinghai,,
,China,,,1/22/2020 12:00,Shaanxi,,
3.0,Mainland China,,,1/23/20 12:00 PM,Shaanxi,,1.0
3.0,Mainland China,,,1/24/2020 12:00 AM,Shaanxi,,
5.0,Mainland China,,,1/24/2020 12:00 PM,Shaanxi,,
5.0,Mainland China,,,1/25/2020 12:00 AM,Shaanxi,,
15.0,Mainland China,,,1/25/2020 12:00 PM,Shaanxi,,
15.0,Mainland China,,,1/25/2020 12:00 PM,Shaanxi,,
15.0,Mainland China,,,1/25/2020 12:00 PM,Shaanxi,,
22.0,Mainland China,,,1/26/2020 11:00 AM,Shaanxi,,
22.0,Mainland China,,,1/26/2020 23:00,Shaanxi,,
35.0,Mainland China,,,1/27/2020 19:00,Shaanxi,,
35.0,Mainland China,,,1/27/2020 20:30,Shaanxi,,
35.0,Mainland China,,,1/27/2020 9:00,Shaanxi,,
46.0,Mainland China,,,1/28/2020 13:00,Shaanxi,,
46.0,Mainland China,,,1/28/2020 18:00,Shaanxi,,
1.0,China,,,1/21/2020,Shandong,,
2.0,China,,,1/22/2020 12:00,Shandong,,
6.0,Mainland China,,,1/23/20 12:00 PM,Shandong,,2.0
9.0,Mainland China,,,1/24/2020 12:00 AM,Shandong,,
15.0,Mainland China,,,1/24/2020 12:00 PM,Shandong,,
21.0,Mainland China,,,1/25/2020 12:00 AM,Shandong,,
27.0,Mainland China,,,1/25/2020 12:00 PM,Shandong,,
39.0,Mainland China,,,1/25/2020 12:00 PM,Shandong,,
27.0,Mainland China,,,1/25/2020 12:00 PM,Shandong,,
46.0,Mainland China,,,1/26/2020 11:00 AM,Shandong,,
63.0,Mainland China,,,1/26/2020 23:00,Shandong,,
75.0,Mainland China,,,1/27/2020 19:00,Shandong,,
87.0,Mainland China,1.0,,1/27/2020 20:30,Shandong,,
75.0,Mainland China,,,1/27/2020 9:00,Shandong,,
95.0,Mainland China,,,1/28/2020 13:00,Shandong,,
